transaction_id,old,new,type,date
2194-74_tr_01,Institutions Operating with Guidance and Coordination at National Level for National Priorities,Presidential Secretariat - National Priority Programme,cabinetMinister,2020-09-25
2194-74_tr_14,"State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment, Business Development and Underutilized State Resources Development","State Minister of Samurdhi, Household Economy, Micro Finance, Self Employment and Business Development",stateMinister,2020-09-25
2194-74_tr_15,"State Minister of Company Estate Reforms, Tea Estates related Crops, Tea Factories Modernization and Tea Export Promotion","State Minister of Company Estate Reforms, Tea and Rubber Estates Related Crops Cultivation and Factories Modernization and Tea and Rubber Export Promotion",stateMinister,2020-09-25
3194-74_tr_31,Department of Pensions,Department of Pensions Benefits Association,department,2020-09-25
3194-74_tr_33,"State Minister of Dhamma Schools, Bhikkhu Education, Piriven and Buddhist Universities","State Minister of Dhamma Schools, Pirivenas and Bhikkhu Education",stateMinister,2020-09-25
2194-74_tr_16,Buddhasravaka Bhiksu University,Buddhasravaka Bhikku University,department,2020-09-25
2194-74_tr_17,Buddhist and Pali University,Buddhist and Pali University of Sri Lanka,department,2020-09-25
2194-74_tr_25,Sri Lanka Rubber Manufacturing and Export Corporation,Sri Lanka Rubber Manufacturing and Export Corporation Ltd.,department,2020-09-25
2194-74_tr_33,"State Minister of Coconut, Kithul, Palmyrah and Rubber Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification","State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",stateMinister,2020-09-25
2194-74_tr_34,Tea and Rubber Estates (Control and Fragmentation) Board,"Tea, Rubber and Coconut Estates (Control and Fragmentation) Board",department,2020-09-25
