transaction_id,parent,parent_type,child,child_type,rel_type,date
2235-45_tr_29,Gotabaya Rajapaksa,citizen,"State Minister of Paddy and Grains, Organic Food, Vegetables, Fruits, Chilies, Onion and Potato Cultivation Promotion, Seed Production and Advanced Technology Agriculture",stateMinister,AS_MINISTER,2021-07-07
2235-45_tr_30,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Sri Lanka Cashew Corporation,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_31,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Ceylon Sugar (Pvt.) Ltd.,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_32,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Kantale Sugar Company Ltd.,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_33,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Sugar Cane Research Institute,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_34,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Galoya Plantation (Pvt.) Company,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_35,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Spices and Allied Products Marketing Board,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_36,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Department of Export Agriculture,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_37,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,Hingurana Sugar Factory (Pvt) Limited,department,AS_DEPARTMENT,2021-07-07
2235-45_tr_38,Gotabaya Rajapaksa,citizen,"State Minister of Production, Supply and Regulation of Organic and Natural Fertilizer",stateMinister,AS_MINISTER,2021-07-07
