transaction_id,old,new,type,date
2235-45_tr_11,Public Service Mutual Provident Association,Public Service Mutual Provident Fund,department,2021-07-07
2235-45_tr_13,"State Minister of Urban Development, Coast Conservation, Waste Disposal and Community Cleanliness","State Minister of Urban Development, Waste Disposal and Community Cleanliness",stateMinister,2021-07-07
2235-45_tr_38,National Hunger Eradication Campaign Board of Sri Lanka,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board),department,2021-07-07
