transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2301-56_tr_01,,State Minister of Power and Energy,Ceylon Petroleum Corporation,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_02,,State Minister of Power and Energy,Ceylon Petroleum Storage Terminal Ltd.,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_04,,State Minister of Power and Energy,Petroleum Development Authority of Sri Lanka,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_06,,State Minister of Power and Energy,Ceylon Electricity Board,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_07,,State Minister of Power and Energy,Sri Lanka Sustainable Energy Authority,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_08,,State Minister of Power and Energy,Lanka Coal Company (Pvt) Ltd,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_09,,State Minister of Power and Energy,Lanka Electricity Company,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_10,,State Minister of Power and Energy,LTL Holdings (Pvt.) Ltd.,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_11,,State Minister of Power and Energy,Sri Lanka Atomic Energy Board,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
2301-56_tr_12,,State Minister of Power and Energy,Sri Lanka Atomic Energy Regulatory Council,department,2022-10-14,Ranil Wickremesinghe,Ranil Wickremesinghe
