transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38-02_tr_33,Anura Kumara Dissanayake,citizen,Minister of Defence,cabinetMinister,AS_MINISTER,2024-09-25
2403-38-02_tr_34,Anura Kumara Dissanayake,citizen,"Minister of Finance, Economic Development, Policy Formulation, Planning and Tourism",cabinetMinister,AS_MINISTER,2024-09-25
2403-38-02_tr_35,Anura Kumara Dissanayake,citizen,Minister of Energy,cabinetMinister,AS_MINISTER,2024-09-25
2403-38-02_tr_36,Anura Kumara Dissanayake,citizen,"Minister of Agriculture, Lands, Livestock, Irrigation, Fisheries and Aquatic Resources",cabinetMinister,AS_MINISTER,2024-09-25
