transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2187-27_tr_351,,"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",Mahinda Rajapaksa National Tele Cinema Park,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_352,,State Minister of Postal Services and Professional Development of Journalists,Postal Department,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_353,,Minister of Plantation,Sri Lanka Tea Board,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_354,,Minister of Plantation,Tea Research Institute,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_355,,Minister of Plantation,Tea Small Holdings Development Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_356,,Minister of Finance,Tea Shakthi Fund,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_357,,"State Minister of Company Estate Reforms, Tea Estates related Crops, Tea Factories Modernization and Tea Export Promotion","Kalubovitiyana Tea Factory Ltd.",department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_358,,Minister of Power,Ceylon Electricity Company,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_359,,Minister of Power,Ceylon Coal Pvt. Ltd.,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_360,,"State Minister of Solar, Wind and Hydro Power Generation Projects Development",Sri Lanka Sustainable Energy Authority,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_361,,Minister of Energy,Ceylon Petroleum Storage Terminal Ltd.,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2187-27_tr_362,,Minister of Energy,Polipto Lanka (Pvt.) Ltd.,department,2020-08-09,Gotabaya Rajapaksa,Gotabaya Rajapaksa
