transaction_id,parent,parent_type,child,child_type,rel_type,date
2187-27_tr_293,Gotabaya Rajapaksa,citizen,State Minister of Rural and School Sports Infrastructure Improvement,stateMinister,AS_MINISTER,2020-08-09
2187-27_tr_305,Gotabaya Rajapaksa,citizen,State Minister of Aviation and Export Zones Development,stateMinister,AS_MINISTER,2020-08-09
2187-27_tr_316,Gotabaya Rajapaksa,citizen,"State Minister of Cooperative Services, Marketing Development and Consumer Protection",stateMinister,AS_MINISTER,2020-08-09
2187-27_tr_323,Gotabaya Rajapaksa,citizen,"State Minister of Batik, Handloom and Local Apparel Products",stateMinister,AS_MINISTER,2020-08-09
2187-27_tr_326,Gotabaya Rajapaksa,citizen,State Minister of Gem and Jewellery related Industries,stateMinister,AS_MINISTER,2020-08-09
2187-27_tr_329,Gotabaya Rajapaksa,citizen,"State Minister of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion",stateMinister,AS_MINISTER,2020-08-09
2187-27_tr_334,Minister of Mass Media,cabinetMinister,Department of Government Information,department,AS_DEPARTMENT,2020-08-09
2187-27_tr_335,Minister of Mass Media,cabinetMinister,Sri Lanka Foundation Institute,department,AS_DEPARTMENT,2020-08-09
2187-27_tr_336,Gotabaya Rajapaksa,citizen,State Minister of Postal Services and Professional Development of Journalists,stateMinister,AS_MINISTER,2020-08-09
2187-27_tr_338,Gotabaya Rajapaksa,citizen,Institutions Operating with Guidance and Coordination at National Level for National Priorities,cabinetMinister,AS_MINISTER,2020-08-09
2187-27_tr_340,Institutions Operating with Guidance and Coordination at National Level for National Priorities,cabinetMinister,Information and Communication Technology Agency and Allied Institutions,department,AS_DEPARTMENT,2020-08-09
2187-27_tr_342,Institutions Operating with Guidance and Coordination at National Level for National Priorities,cabinetMinister,Board of Investment of Sri Lanka,department,AS_DEPARTMENT,2020-08-09
2187-27_tr_343,Institutions Operating with Guidance and Coordination at National Level for National Priorities,cabinetMinister,Colombo Port City Project,department,AS_DEPARTMENT,2020-08-09
2187-27_tr_346,Gotabaya Rajapaksa,citizen,"State Minister of Warehouse Facilities, Container Yards, Port Supply Facilities and Boats and Shipping Industry Development",stateMinister,AS_MINISTER,2020-08-09
