transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2373-22_tr_03,Minister of Sports and Youth Affairs,State Minister of Sports and Youth Affairs,Institute of Sports Medicine,department,2023-12-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2373-22_tr_04,Minister of Sports and Youth Affairs,State Minister of Sports and Youth Affairs,National Institute of Sports Science,department,2023-12-01,Ranil Wickremesinghe,Ranil Wickremesinghe
