transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2158-5_tr_03,Minister of Women & Child Affairs and Social Security,State Minister of Women and Child Affairs,Department of Probation and Childcare Services,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_04,Minister of Women & Child Affairs and Social Security,State Minister of Women and Child Affairs,National Child Protection Authority,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_05,Minister of Women & Child Affairs and Social Security,State Minister of Women and Child Affairs,Children's Secretariat,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_06,Minister of Women & Child Affairs and Social Security,State Minister of Women and Child Affairs,Protection of Children-National Trust Fund,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_07,Minister of Women & Child Affairs and Social Security,State Minister of Social Security,Rural Development Training and Research Institute,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_08,Minister of Women & Child Affairs and Social Security,State Minister of Social Security,Department of Social Services,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_09,Minister of Women & Child Affairs and Social Security,State Minister of Social Security,National Council for Elders and National Secretariat for Elders,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_10,Minister of Women & Child Affairs and Social Security,State Minister of Social Security,National Secretariat for Persons with Disabilities,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_11,Minister of Women & Child Affairs and Social Security,State Minister of Social Security,National Council for Persons with Disabilities,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-5_tr_12,Minister of Women & Child Affairs and Social Security,State Minister of Social Security,Social Security Board,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-6_tr_13,Minister of Information and Communication Technology,State Minister of Information and Communication Technology,Department of Information,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-6_tr_14,Minister of Information and Communication Technology,State Minister of Information and Communication Technology,Sri Lanka Press Council,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-6_tr_15,Minister of Information and Communication Technology,State Minister of Information and Communication Technology,"Associated Newspapers of Ceylon Ltd.",department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-6_tr_16,Minister of Information and Communication Technology,State Minister of Information and Communication Technology,"Lanka Puwath Ltd.",department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-6_tr_17,Minister of Information and Communication Technology,State Minister of Information and Communication Technology,Mahinda Rajapaksa National Tele Cinema Park,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-6_tr_18,Minister of Information and Communication Technology,State Minister of Information and Communication Technology,Right to Information Commission,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-6_tr_19,Minister of Information and Communication Technology,State Minister of Information and Communication Technology,Postal Department,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-3_tr_19,Minister of Plantation Industries and Export Agriculture,State Minister of Tea Industry Development,Sri Lanka Tea Board,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-3_tr_19,Minister of Plantation Industries and Export Agriculture,State Minister of Tea Industry Development,Tea Research Institute,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-3_tr_19,Minister of Plantation Industries and Export Agriculture,State Minister of Tea Industry Development,Tea Small Holdings Development Authority,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-3_tr_19,Minister of Plantation Industries and Export Agriculture,State Minister of Tea Industry Development,Tea Shakthi Fund,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2158-3_tr_19,Minister of Plantation Industries and Export Agriculture,State Minister of Tea Industry Development,Kalubovitiyana Tea Factory Ltd.,department,2020-01-13,Gotabaya Rajapaksa,Gotabaya Rajapaksa









