transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2277-53_tr_06,Minister of Economic Policies & Plan Implementation,"Minister of Buddha Sasana, Religious and Cultural Affairs",Buddhist Renaissance Fund,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_07,"State Minister of National Heritage, Performing Arts and Rural Arts Promotion","Minister of Buddha Sasana, Religious and Cultural Affairs",Department of Archaeology,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_09,"Minister of Buddha Sasana, Religious and Cultural Affairs",State Minister of Cultural & Performing Arts,Public Performance Board,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_10,"Minister of Buddha Sasana, Religious and Cultural Affairs",State Minister of Cultural & Performing Arts,National Film Corporation,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_14,State Minister of Coast Conservation & Low-Lying Lands Development,State Minister of Housing,Sri Lanka Land Development Corporation and its subsidiaries and related institutions,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_16,Minister of Economic Policies & Plan Implementation,Minister of Finance,National Planning Department,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_17,Minister of Economic Policies & Plan Implementation,Minister of Finance,Office of Comptroller General,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_19,Minister of Development Co-ordination and Monitoring,Minister of Finance,Department of Project Management and Monitoring,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_19,Minister of Economic Policies & Plan Implementation,Minister of Finance,Department of Valuation,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2277-53_tr_20,Minister of Economic Policies & Plan Implementation,Minister of Finance,Sri Lanka Accounting and Auditing Standard Monitoring Board,department,2022-04-28,Gotabaya Rajapaksa,Gotabaya Rajapaksa
