transaction_id,old,new,type,date
2301-59_tr_06,Road Development Authority and its subsidiaries and affiliates,Subsidiaries and affiliates under the Road Development Authority,department,2022-10-14
2301-59_tr_09,Maga Neguma,Maga Neguma Section,department,2022-10-14
