transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2288-24_tr_01,Minister of Investment Promotion,Minister of Defence,Department of Immigration and Emigration,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_02,Minister of Technology,Minister of Defence,Telecommunication Regulatory Commission of Sri Lanka and Allied Institutions,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_03,Minister of Technology,Minister of Defence,Information and Communication Technology Agency and Allied Institutions,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_04,Minister of Technology,Minister of Defence,Sri Lanka Computer Emergency Readiness Team,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_04,Minister of Technology,Minister of Defence,Sri Lanka Telecom and its Subsidiaries and Allied Institutions,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_05,Minister of Investment Promotion,Minister of Defence,Colombo Lotus Tower Management Company (Pvt.) Limited,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_05,Minister of Investment Promotion,Minister of Defence,Techno Park Development Company (Pvt.) Limited,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_06,Minister of Investment Promotion,Minister of Defence,Information Technology Parks (Jaffna & Mannar),department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_06,Minister of Technology,Minister of Defence,Industrial Technology Institute,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_06,Minister of Technology,Minister of Defence,Sri Lanka Institute of Nano Technology (Pvt.) Ltd.,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_07,Minister of Technology,Minister of Defence,Sri Lanka Standards Institute,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_08,Minister of Technology,Minister of Defence,Sri Lanka Institute of Biotechnology (Pvt.) Ltd.,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_09,Minister of Technology,Minister of Defence,Department of Registration of Persons,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_10,Minister of Investment Promotion,Minister of Defence,Board of Investment of Sri Lanka,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2288-24_tr_11,Minister of Investment Promotion,Minister of Defence,Colombo Port City Economic Commission,department,2022-07-14,Gotabaya Rajapaksa,Gotabaya Rajapaksa

