transaction_id,parent,parent_type,child,child_type,rel_type,date
2413-25_tr_01,"Minister of Buddhasasana, Religious and Cultural Affairs, National Integration, Social Security, and Mass Media",cabinetMinister,U.G.Ranjith Ariyaratne,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_02,"Minister of Rural and Urban Development, Housing and Construction",cabinetMinister,A.M.P.M.B.Atapattu,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_03,Minister of Public Security,cabinetMinister,D.W.R.B.Seneviratne,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_04,"Minister of Justice, Public Administration, Home Affairs, Provincial Councils, Local Government and Labour",cabinetMinister,S.Alokabandara,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_05,Minister of Foreign Affairs,cabinetMinister,Aruni Wijewardana,citizen,AS_APPOINTED,2024-11-19
