transaction_id,parent,parent_type,child,child_type,rel_type,date
2413-25_tr_01,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,A.M.P.M.B.Atapattu,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_02,Minister of Public Security and Parliamentary Affairs,cabinetMinister,D.W.R.B.Seneviratne,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_03,"Minister of Energy",cabinetMinister,K.T.M.Udayanga Hemapala,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_04,"Minister of Public Administration, Provincial Councils and Local Government",cabinetMinister,S.Alokabandara,citizen,AS_APPOINTED,2024-11-19
2413-25_tr_05,"Minister of Foreign Affairs, Foreign Employment and Tourism",cabinetMinister,Aruni Ranaraja,citizen,AS_APPOINTED,2024-11-19


