transaction_id,old,new,type,date
2457-36_tr_01,"Minister of Transport, Highways, Ports and Civil Aviation","Minister of Transport, Highways and Urban Development",cabinetMinister,2025-10-11
2457-36_tr_02,"Minister of Urban Development, Construction and Housing",Minister of Ports and Civil Aviation,cabinetMinister,2025-10-11
