transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2159-08_tr_01,"Minister of Lands & Land Development","State Minister of Lands and Land Development","Department of Land Settlement",department,2020-01-21,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2159-08_tr_02,"Minister of Lands & Land Development","State Minister of Lands and Land Development","Land Reform Commission",department,2020-01-21,Gotabaya Rajapaksa,Gotabaya Rajapaksa
