transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2157-05_tr_01,,State Minister of Tourism Promotion Affairs,Sri Lanka Tourism Promotion Bureau,department,2020-01-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2157-05_tr_02,,State Minister of Tourism Promotion Affairs,Sri Lanka Tourism Development Authority,department,2020-01-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2157-05_tr_03,,State Minister of Tourism Promotion Affairs,Sri Lanka Institute of Tourism and Hotel Management,department,2020-01-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2157-05_tr_04,,State Minister of Tourism Promotion Affairs,Sri Lanka Exhibition and Convention Bureau,department,2020-01-06,Gotabaya Rajapaksa,Gotabaya Rajapaksa

