transaction_id,parent,parent_type,child,child_type,rel_type,date
2230-12_tr_01,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for “Gama Samaga Pilisandara” (Dialogue with the Village) rural development,department,AS_DEPARTMENT,2021-06-03
2230-12_tr_02,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for the creation of a Green Sri Lanka with sustainable Solutions for climate Changes,department,AS_DEPARTMENT,2021-06-03
2230-12_tr_03,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for to make study of the exploitation of Geological Resources for Development priorities and self-employment and to meet smallish economic livelihood needs of those engaged in traditional vocations and the sources and methodologies of extraction of such resources,department,AS_DEPARTMENT,2021-06-03
2230-12_tr_04,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for National Deployment and Vaccination plan for COVID-19 Vaccine,department,AS_DEPARTMENT,2021-06-03
2230-12_tr_05,Gotabaya Rajapaksa,citizen,State Minister of Digital Technology and Enterprise Development,stateMinister,AS_MINISTER,2021-06-03
