transaction_id,parent,parent_type,child,child_type,rel_type,date
2241-07_tr_01,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for “Gama Samaga Pilisandara” (Dialogue with the Village) rural development,department,AS_DEPARTMENT,2021-08-16
2241-07_tr_03,Minister of Finance,cabinetMinister,Department of Public Accounts,department,AS_DEPARTMENT,2021-08-16
2241-07_tr_04,Minister of Finance,cabinetMinister,Sri Lanka Insurance Board,department,AS_DEPARTMENT,2021-08-16
