transaction_id,parent,parent_type,child,child_type,rel_type,date
2256-39_tr_01,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force to study and provide instructions on measures to be taken by all Armed Forces to prevent Corona virus infection among Members of the Tri-Forces,department,AS_DEPARTMENT,2021-12-02
2256-39_tr_02,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for Economic Revival and Poverty Alleviation,department,AS_DEPARTMENT,2021-12-02
2256-39_tr_03,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for to make study of the exploitation of Geological Resources for Development priorities and self-employment and to meet smallish economic livelihood needs of those engaged in traditional vocations and the sources and methodologies of extraction of such resources,department,AS_DEPARTMENT,2021-12-02
2256-39_tr_04,Presidential Secretariat - National Priority Programme,cabinetMinister,Presidential Task Force for National Deployment and Vaccination plan for COVID-19 Vaccine,department,AS_DEPARTMENT,2021-12-02
