transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2304-17_tr_01,,State Minister of Urban Development and Housing,Urban Settlement Development Authority,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_02,,State Minister of Urban Development and Housing,Condominium Management Authority (Common Amenities Board),department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_03,,State Minister of Urban Development and Housing,National Housing Development Authority,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_04,,State Minister of Urban Development and Housing,State Engineering Corporation,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_05,,State Minister of Urban Development and Housing,National Equipment and Machinery Organization,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_06,,State Minister of Urban Development and Housing,Ocean View Development (Pvt) Ltd.,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_08,,State Minister of Urban Development and Housing,Selendiva Investments Limited,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_09,,State Minister of Urban Development and Housing,Hotel Developers (Lanka) PLC (PQ 143),department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_10,,State Minister of Urban Development and Housing,Department of Buildings,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_11,,State Minister of Urban Development and Housing,Department of Government Factories,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_12,,State Minister of Urban Development and Housing,Construction Industry Development Authority,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_13,,State Minister of Urban Development and Housing,Marine Environment Protection Authority,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
2304-17_tr_14,,State Minister of Urban Development and Housing,Department of Coast Conservation and Coastal Resource Management,department,2022-11-01,Ranil Wickremesinghe,Ranil Wickremesinghe
