transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2159-38_tr_01,"Minister of Internal Trade, Food Security and Consumer Welfare","State Minister of Internal Trade and Consumer Welfare",Consumer Affairs Authority,department,2020-01-23,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2159-38_tr_02,"Minister of Internal Trade, Food Security and Consumer Welfare","State Minister of Internal Trade and Consumer Welfare",Lanka Sathosa Ltd.,department,2020-01-23,Gotabaya Rajapaksa,Gotabaya Rajapaksa
2159-38_tr_03,"Minister of Internal Trade, Food Security and Consumer Welfare","State Minister of Internal Trade and Consumer Welfare",Co-operative Wholesale Establishment,department,2020-01-23,Gotabaya Rajapaksa,Gotabaya Rajapaksa

